ID	MolecularWeight	ResidueCount	ResidueWeight	Charge	IsoelectricPoint	ExtinctionReduced	ExtinctionBridges	ReducedMgMl	BridgeMgMl	Probability_pos_neg
KAF1604860.1	40666.83	358	113.594	13.0	8.4802	101870	102495	505	520	-0.677
KAF1584371.1	40666.83	358	113.594	13.0	8.4802	101870	102495	505	520	-0.677
KAF1578265.1	40652.80	358	113.555	13.0	8.4802	101870	102495	506	521	-0.677
KAF1561075.1	40682.83	358	113.639	13.0	8.4802	101870	102495	504	519	-0.677
KAF1548696.1	40647.81	358	113.541	11.0	8.1869	101870	102495	506	522	-0.650
KAF1546409.1	40647.81	358	113.541	11.0	8.1869	101870	102495	506	522	-0.650
KAF1524284.1	40654.81	358	113.561	13.0	8.4796	101870	102495	506	521	-0.677
KAF1488921.1	40622.74	358	113.471	10.5	8.1838	101870	102495	508	523	-0.659
KAF1487788.1	40606.72	358	113.427	12.5	8.4781	101870	102495	509	524	-0.686
KAF1473286.1	40684.86	358	113.645	13.0	8.4802	101870	102495	504	519	-0.677
KAF1471003.1	40684.86	358	113.645	13.0	8.4802	101870	102495	504	519	-0.677
KAF1464176.1	40684.86	358	113.645	13.0	8.4802	101870	102495	504	519	-0.677
KAF1464082.1	40684.86	358	113.645	13.0	8.4802	101870	102495	504	519	-0.677
KAF1459431.1	40615.75	358	113.452	12.0	8.3370	101870	102495	508	524	-0.668
KAF1440782.1	40615.75	358	113.452	12.0	8.3370	101870	102495	508	524	-0.668
KAF1432837.1	40615.75	358	113.452	12.0	8.3370	101870	102495	508	524	-0.668
KAF1404242.1	40615.75	358	113.452	12.0	8.3370	101870	102495	508	524	-0.668
XP_031990407.1	40790.71	358	113.941	11.5	8.3986	107370	107870	632	644	-0.687
XP_019478895.1	24874.61	220	113.066	15.0	9.4621	48930	49305	967	982	-0.652
XP_031456423.1	48749.23	432	112.845	20.5	9.2104	112870	113495	315	328	-0.826
XP_005429668.1	45817.32	413	110.938	11.5	8.1892	123870	124495	704	717	-0.775
XP_030822190.1	40835.78	359	113.749	10.5	8.0749	107370	107870	629	642	-0.649
XP_030321679.1	40787.14	358	113.931	14.5	8.7109	100380	100880	461	473	-0.695
XP_008503927.1	40787.14	358	113.931	14.5	8.7109	100380	100880	461	473	-0.695
XP_008922173.2	40652.66	358	113.555	18.0	9.1687	96370	96870	371	383	-0.769
XP_027751872.1	40638.55	358	113.516	15.5	9.0133	101870	102370	507	519	-0.769
XP_027520533.1	40732.69	358	113.778	17.5	9.1683	101870	102370	501	513	-0.761
XP_027558020.1	40647.54	358	113.541	15.5	8.7081	101870	102370	506	518	-0.721
XP_026720573.1	47045.06	417	112.818	29.5	10.1276	100380	101130	134	150	-0.705
XP_025900367.1	37327.94	335	111.427	14.0	8.8918	91900	92400	462	475	-0.665
XP_023798483.1	40665.48	358	113.591	9.5	8.1176	107370	107870	640	653	-0.660
PKU41280.1	40779.94	358	113.910	13.0	8.4074	100380	100880	462	474	-0.649
OWK54800.1	26684.56	238	112.120	13.0	9.3919	57410	57785	151	165	-0.699
XP_021233644.1	48851.28	432	113.082	23.5	9.4339	108860	109485	228	241	-0.825
OPJ74548.1	40418.39	358	112.901	16.0	9.0284	94880	95380	347	360	-0.753
XP_009281191.1	40648.70	358	113.544	12.5	8.4787	101870	102495	506	521	-0.686
XP_017689608.1	40665.66	358	113.591	16.5	8.8606	96370	96870	370	382	-0.729
XP_008638823.1	40804.74	358	113.980	11.5	8.3986	107370	107870	631	644	-0.687
XP_005059732.1	40822.66	359	113.712	11.0	8.5584	108860	109235	667	676	-0.694
XP_014814680.1	40688.79	358	113.656	13.5	8.5598	100380	100880	467	479	-0.667
XP_014740911.1	40745.76	358	113.815	12.5	8.6415	107370	107870	635	647	-0.713
KQK79067.1	40214.29	358	112.330	13.0	8.5559	94880	95380	359	372	-0.704
XP_005531541.2	40617.44	357	113.774	11.0	8.3046	107370	107870	643	656	-0.671
XP_009324864.1	40617.75	358	113.457	13.5	8.6188	101870	102495	508	523	-0.713
XP_010583936.1	40837.08	358	114.070	16.0	8.8684	100380	100880	458	470	-0.712
XP_010295685.1	47024.03	418	112.498	19.5	9.1786	100380	100880	135	145	-0.763
XP_010187293.1	40613.58	358	113.446	13.0	8.5602	100380	100880	472	484	-0.686
XP_009982315.1	40562.63	358	113.303	10.5	8.0331	98890	99515	438	453	-0.631
XP_009943063.1	38572.48	339	113.783	20.0	9.7736	98890	99390	564	577	-0.703
XP_009892089.1	40475.45	358	113.060	11.5	8.2460	100380	100880	480	492	-0.650
XP_009870532.1	33911.64	298	113.797	11.0	8.8264	89380	89630	636	643	-0.721
KGL85810.1	39973.85	353	113.240	12.5	8.4055	100380	100880	511	524	-0.678
XP_009460192.1	46460.22	411	113.042	21.5	9.5931	105880	106380	279	290	-0.802
KFZ68785.1	34213.04	299	114.425	10.5	8.3911	91900	92275	686	697	-0.653
KFW81030.1	40223.15	353	113.947	19.0	9.4407	96370	96870	396	408	-0.781
KFW61438.1	40447.54	356	113.617	13.5	8.6188	101870	102495	519	534	-0.717
KFV54932.1	40090.15	349	114.871	16.5	9.1746	101870	102370	541	553	-0.737
KFV16020.1	40061.03	353	113.487	11.5	8.1938	98890	99515	468	484	-0.660
KFU87009.1	40272.41	353	114.086	16.0	8.9878	100380	100880	493	505	-0.713
XP_009079850.1	40650.56	358	113.549	14.0	8.7076	101870	102370	506	518	-0.730
KFR03283.1	36766.29	321	114.537	19.0	9.6475	98890	99390	690	703	-0.692
KFQ94573.1	40114.91	353	113.640	14.0	8.5619	100380	100880	502	515	-0.696
KFQ70770.1	40281.34	353	114.111	15.5	8.7166	100380	100880	492	504	-0.696
KFQ38853.1	40082.98	352	113.872	14.0	8.7150	100380	100880	504	517	-0.707
KFQ28029.1	40227.24	353	113.958	10.5	8.2402	100380	100880	495	508	-0.670
KFQ16131.1	40309.32	353	114.191	14.5	8.7159	105880	106380	627	639	-0.705
KFP87454.1	40177.01	353	113.816	15.0	8.8621	101870	102370	536	548	-0.756
KFP28446.1	40038.19	353	113.423	14.0	8.7100	94880	95380	370	382	-0.714
KFP08967.1	40024.86	353	113.385	13.5	8.4841	100380	100880	508	520	-0.678
KFO97556.1	40313.60	353	114.203	15.5	8.8660	100380	100880	490	502	-0.722
KFO72113.1	39959.81	353	113.201	12.5	8.2517	100380	100880	512	525	-0.650
KFO52652.1	40331.20	353	114.253	12.5	8.5529	107370	107870	662	675	-0.714
KFV67652.1	40106.18	353	113.615	14.0	8.5503	100380	101005	503	518	-0.731
XP_008936739.1	40658.75	358	113.572	10.5	8.2402	100380	100880	469	481	-0.669
KFM01312.1	40478.49	356	113.704	12.5	8.4787	101870	102495	517	532	-0.690
